Thread ID, Time, Message Type,n,r,k,case
Thread ID: 1, Time: 10:34:21:284 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:21:291 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 10:34:21:301 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 10:34:21:308 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:21:320 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:21:329 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:21:340 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:21:354 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 10:34:21:371 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 10:34:21:386 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:21:401 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 10:34:21:415 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 10:34:21:424 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 10:34:21:437 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:21:449 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 10:34:21:457 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:21:471 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:21:483 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 10:34:21:491 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 10:34:21:502 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:21:510 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:21:520 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:21:590 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:21:601 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 10:34:21:621 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 10:34:21:634 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:21:649 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 10:34:21:656 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 10:34:21:669 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 10:34:21:682 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:21:691 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 10:34:21:702 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:21:713 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:21:724 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 10:34:21:737 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 10:34:21:746 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:22:137 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 10:34:22:150 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:22:160 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:22:170 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:22:176 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:22:185 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 10:34:22:191 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 10:34:22:201 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:22:207 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 29, Time: 10:34:22:216 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 10:34:22:223 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 31, Time: 10:34:22:232 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 10:34:22:238 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:22:248 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 32, Time: 10:34:22:255 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 30, Time: 10:34:22:266 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 22, Time: 10:34:22:272 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 24, Time: 10:34:22:282 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 19, Time: 10:34:22:290 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 10:34:22:302 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:22:315 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 18, Time: 10:34:22:321 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 21, Time: 10:34:22:332 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 26, Time: 10:34:22:339 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 23, Time: 10:34:22:349 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 27, Time: 10:34:22:355 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 25, Time: 10:34:22:365 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 10:34:22:371 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 20, Time: 10:34:22:381 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 17, Time: 10:34:22:387 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 10:34:22:397 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 28, Time: 10:34:22:406 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 10:34:22:417 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:22:424 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:22:437 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:22:445 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:22:458 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:22:470 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 10:34:22:483 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 10:34:22:491 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 10:34:22:502 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 29, Time: 10:34:22:508 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 10:34:22:519 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 31, Time: 10:34:22:531 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 10:34:22:539 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 10:34:22:549 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 32, Time: 10:34:22:556 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 30, Time: 10:34:22:566 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 22, Time: 10:34:22:573 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 24, Time: 10:34:22:586 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 19, Time: 10:34:22:593 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 10:34:22:602 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 10:34:22:609 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 18, Time: 10:34:22:618 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 21, Time: 10:34:22:624 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 26, Time: 10:34:22:633 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 23, Time: 10:34:22:640 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 27, Time: 10:34:22:650 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 25, Time: 10:34:22:657 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 10:34:22:667 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 20, Time: 10:34:22:673 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 17, Time: 10:34:22:683 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 10:34:22:689 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 28, Time: 10:34:22:699 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 10:34:22:706 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 10:34:22:717 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 10:34:22:723 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 10:34:22:733 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 10:34:22:739 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 10:34:22:749 19/07/2023, sent GRANT message,32,3,0,3
